item,a,b,g,u
Q1,1.0713232535194792,-2.264065204877304,0.02076204156535495,1
Q2,0.6760957997216348,-3.2059463099412326,0.16032182410929263,1
Q3,0.8453013009764201,-2.8714530021310996,0.1411992013548979,1
Q4,1.2665791162372084,-0.3513739783699692,0.6838935302918902,1
Q5,2.303957919850632,-0.24758374946030812,0.6514054940102602,1
Q6,3.0091447290682254,0.42547904130013064,0.7475856154391591,1
Q7,1.4344087092088853,-1.007336662299571,0.35295210008669176,1
Q8,0.917750792993616,-1.5781571994068135,0.011538618810073209,1
Q9,1.7157627636226684,-0.6409441809931513,0.4972865970432444,1
Q10,0.8673497426931878,-1.5342890938647546,0.012495194304196221,1
Q11,1.0942398452550068,0.2248607621095224,0.4876275282030845,1
Q12,0.5768771206615587,-1.677421468424924,0.008332164673072802,1
Q13,3.4113862198017415,0.3058502398819105,0.5922875724536294,1
Q14,1.279048155657309,-0.9049881528268562,0.004387611031793348,1
Q15,1.647586303505112,-0.5890867622222882,0.29689632544111405,1
Q16,0.6785200907176179,-1.249822701176651,0.04739041428304386,1
Q17,1.2443719921349135,0.3812525762856445,0.3578008113300836,1
Q18,1.8693868378392626,0.0016605896133132984,0.24915713232513476,1
Q19,1.2280843768946854,0.07682233254304989,0.2007086402313936,1
Q20,1.2789373480567976,0.7202739321272468,0.16071747507796807,1
Q21,1.0933547414375042,-0.5682442566852048,0.0015632854669434002,1
Q22,1.8091242166482344,0.3200916053301674,0.2500558971672714,1
Q23,0.639001057227241,0.0472959557186908,0.23534861895588613,1
Q24,1.4099234664177138,0.1761248802622543,0.24246697053703473,1
Q25,1.7158728700227996,0.5351664846321164,0.3228592837893573,1
Q26,1.0701270121052278,0.48685416130802783,0.24235265110075033,1
Q27,0.8926375162802553,1.482593272497423,0.3106472515990312,1
Q28,1.6046063645600825,0.892632033109616,0.34417235522228773,1
Q29,1.2047424131974258,0.37056215548669175,0.17603810618932728,1
Q30,1.5886587866558277,1.3471156096485657,0.28974491312393874,1
Q31,2.2524289967242876,1.1913392407799126,0.3325695740345019,1
Q32,0.5985647321636766,0.10310097182546077,0.0056119701527786265,1
Q33,1.4831250435445884,1.193104636492283,0.1639296555940593,1
Q34,1.465707712871203,2.077346624319113,0.29180910259980136,1
Q35,2.3082612298054213,1.540709259976326,0.2643825344535867,1
Q36,1.6955133556846074,1.8023096366850815,0.151319352443901,1
Q37,2.454762340535672,1.56968816240941,0.22586938665049744,1
Q38,0.389296448473154,1.411180800742263,0.007240457049370701,1
Q39,0.7704549491735069,1.8069814440528393,0.07221555750799256,1
Q40,0.2579099442158187,1.285801704008385,0.010117178966086833,1
